gender ldlsiu02
M 4.870446682
M 3.746208906
M 4.29100132
F 5.073499203
M 1.680899978
F 2.996837854
F 3.814608574
M 4.584253788
F 3.400848627
M 4.401526928
M 4.552290916
M 4.35342741
M 1.975703955
M 3.041136026
M 1.960188031
F 3.496996164
F 3.823788881
F 3.745820999
M 3.572481394
F 4.565479755
M 6.109425068
F 4.719889641
F 3.691023588
F 2.935135841
F 3.221923351
F 2.394635916
F 3.66728425
M 3.14242959
F 3.282642603
F 3.599711895
F 2.629625797
F 2.610049725
F 3.828004122
M 4.575642586
M 2.080075026
F 2.159930706
M 4.102688789
M 1.78814137
F 3.463481426
M 4.057873726
F 3.98507762
F 3.245274782
F 3.101001978
F 2.668751955
F 4.359995842
F 4.045434952
F 4.266900063
F 3.469015598
F 3.165263891
F 3.249102116
M 2.623703957
M 2.679251194
M 2.895130396
M 3.594126225
F 2.115348101
F 2.834799051
F 4.162813663
M 5.984340191
M 3.211812019
F 3.569740295
M 3.791075945
F 3.303899527
F 4.157253742
M 4.609364033
M 3.837624073
F 4.050969124
M 3.747372627
F 5.089196205
F 4.105947495
F 3.663818836
F 1.762850285
F 4.139849663
F 1.439858913
F 5.272284985
M 4.095810413
M 4.513397694
M 4.802253723
M 4.363978386
M 2.478681087
F 3.418640375
F 3.123888016
F 7.159340858
F 3.077339888
M 3.066996098
F 3.273875952
M 3.547371387
F 2.815042019
M 2.635573626
M 2.853961229
F 5.409912109
M 4.418180943
M 3.712280512
M 2.932472229
M 5.507171631
F 3.608659506
F 3.516959906
M 4.355729103
F 3.179176569
M 2.381731749
M 3.046308041
F 3.968191147
F 2.19016099
M 3.151635885
F 4.879833698
M 3.729167223
F 3.513468981
F 2.854943991
M 3.610055923
F 2.692439795
M 4.011325836
F 6.136991978
M 4.028987885
F 2.982433796
F 4.292527199
F 3.381272554
F 4.578486919
M 1.50505197
M 1.816846013
F 2.493188381
F 4.832690716
F 3.165263891
M 3.599711895
M 4.054046154
M 4.467599392
M 2.237329721
M 4.467237473
F 2.446356058
F 2.451631546
M 3.838917017
F 6.680233002
F 4.046185017
F 3.66746521
F 3.418692112
F 3.739356041
F 5.669029236
M 3.082511902
F 5.805052757
F 3.88911128
F 3.83852911
F 4.291182518
F 2.785561562
M 3.576489687
F 5.143993855
M 4.468607903
M 3.933357716
M 1.448160052
F 1.422299981
M 3.929142475
M 2.808396101
M 3.242999077
M 4.821208954
F 3.302916765
F 3.174599409
F 3.056212425
F 3.073435068
M 4.680996418
M 3.149515152
F 1.306188583
F 3.261178732
M 3.245662689
F 2.254992008
M 2.865288019
M 5.00740099
M 1.127496004
M 5.147432804
F 5.759280682
F 4.140212059
F 2.983623266
M 3.046075344
M 4.194647312
M 3.042816877
F 2.525591135
M 3.835296631
F 3.117681503
M 3.868811131
M 4.856507778
M 2.564510345
M 4.349419117
F 7.147704124
F 3.155256271
F 5.225012779
F 2.90775013
F 3.501444101
M 3.920376062
M 3.625571966
M 3.798678875
F 3.955183506
M 3.571912527
M 3.763431549
M 3.550422907
M 4.19656086
M 4.784643173
F 1.079499841
F 4.328964233
F 3.179978371
F 2.261844873
F 2.163163185
F 2.753960609
F 7.028127193
M 4.743628979
M 2.930765629
F 4.482908726
F 5.109496593
M 3.378040075
M 3.705220699
F 1.926182151
F 3.86865592
F 2.441882133
F 5.92193985
M 4.923744202
M 3.139352322
F 5.123486519
F 4.023583412
M 2.901647091
F 2.477905273
M 4.073958397
M 3.920505285
F 4.489244461
M 2.701852798
M 2.39996314
F 3.060427666
M 2.906043291
M 4.852447987
F 3.333405733
F 3.954045773
F 1.029227972
M 2.915249586
M 4.114377499
F 3.182254076
M 2.35326004
M 2.36088872
F 4.236592293
F 2.741496086
M 5.959618092
M 3.899688005
F 4.176622868
M 4.247711658
F 2.218787909
F 2.521349907
F 2.812714577
M 3.12921524
F 3.065211773
F 3.472480774
M 1.931198955
F 4.523922443
F 2.487731934
M 2.706455946
F 3.170435905
M 2.572345972
F 3.790067434
M 3.444500208
F 3.469972372
F 2.715455055
F 3.835451841
F 2.342916012
F 3.574162245
F 4.506673813
F 2.190936804
M 4.687512875
F 5.192687988
F 2.631694555
M 4.420482635
F 3.418692112
F 3.403176069
M 5.865047932
F 3.978354216
F 2.448398829
M 3.801368237
F 3.631080151
M 1.841231942
M 3.519985676
F 3.037050009
M 2.894897699
M 2.187756062
F 6.746718884
M 3.642380953
F 4.04902935
F 2.715300083
M 2.663295507
M 2.958927155
M 2.631539345
F 2.158379078
M 4.299044132
F 2.672915459
F 2.702240705
F 2.725644112
F 4.013032436
F 4.685832024
F 3.179590464
F 3.554069042
M 5.903708935
F 4.001731396
M 3.476696014
F 3.190503359
M 2.494403839
M 2.202444553
F 1.582631946
M 3.698497295
F 1.925096035
F 4.406544209
F 3.072168112
M 2.852021933
F 3.700591803
F 5.443581581
M 2.633246183
F 5.228064537
F 1.923984051
M 3.668241024
M 3.658103943
M 3.781843901
M 3.570748806
M 4.274709702
F 2.498075962
F 2.495722771
F 1.99574554
F 5.067732334
M 2.970408916
M 3.046308041
